[90.57, 28.93]
[90.47, 28.93]
[90.39, 28.93]
[90.32, 28.75]
[90.24, 28.75]
[90.16, 28.75]
[90.08, 28.75]
[90.02, 28.75]
[89.93, 28.75]
[89.86, 28.75]
[89.78, 28.75]
[89.71, 28.93]
[89.65, 28.93]
[89.55, 28.93]
[89.49, 28.93]
[89.4, 28.93]
[89.34, 28.93]
[89.26, 28.75]
[89.18, 28.93]
[89.11, 28.93]
[89.05, 28.93]
[88.96, 28.93]
[88.9, 28.93]
[88.82, 28.93]
[88.75, 28.93]
[88.66, 29.12]
[88.6, 28.75]
[88.52, 29.12]
[88.47, 28.93]
[88.38, 28.93]
[88.33, 28.93]
[88.24, 28.93]
[88.18, 28.93]
[88.1, 28.93]
[88.06, 29.12]
[87.96, 28.93]
[87.89, 28.93]
[87.83, 28.93]
[87.76, 28.93]
[87.7, 28.93]
[87.62, 28.93]
[87.55, 28.93]
[87.48, 28.93]
[87.41, 28.93]
[87.33, 28.93]
[87.27, 28.93]
[87.21, 28.93]
[87.14, 29.12]
[87.07, 28.93]
[87.01, 28.93]
[86.93, 29.12]
[86.86, 29.12]
[86.78, 29.12]
[86.73, 29.12]
[86.67, 29.12]
[86.6, 29.12]
[86.52, 28.93]
[86.47, 29.12]
[86.4, 29.12]
[86.32, 29.12]
[86.28, 28.93]
[86.19, 29.12]
[86.14, 29.12]
[86.08, 29.12]
[86.01, 29.12]
[85.96, 28.93]
[85.88, 29.12]
[85.83, 29.12]
[85.78, 28.93]
[85.7, 29.12]
[85.65, 29.12]
[85.57, 29.12]
[85.52, 29.12]
[85.44, 29.12]
[85.38, 29.12]
[85.32, 29.31]
[85.26, 28.93]
[85.2, 29.12]
[85.17, 29.12]
[85.08, 29.12]
[85.04, 29.12]
[84.97, 29.31]
[84.92, 29.12]
[84.84, 29.12]
[84.79, 29.12]
[84.71, 29.31]
[84.67, 29.31]
[84.61, 29.31]
[84.55, 29.31]
[84.5, 29.12]
[84.45, 29.31]
[84.36, 29.31]
[84.33, 29.31]
[84.25, 29.31]
[84.2, 29.5]
[84.14, 29.31]
[84.09, 29.5]
[84.03, 29.12]
[83.97, 29.5]
[83.93, 29.31]
[83.88, 29.31]
[83.81, 29.31]
[83.75, 29.5]
[83.69, 29.5]
[83.63, 29.31]
[83.58, 29.5]
[83.51, 29.68]
[83.47, 29.5]
[83.41, 29.5]
[83.35, 29.31]
[83.3, 29.5]
[83.22, 29.31]
[83.19, 29.5]
[83.14, 29.5]
[83.07, 29.31]
[83.02, 29.31]
[82.96, 29.68]
[82.92, 29.5]
[82.85, 29.68]
[82.79, 29.5]
[82.73, 29.68]
[82.7, 29.68]
[82.63, 29.5]
[82.57, 29.68]
[82.53, 29.5]
[82.46, 29.68]
[82.45, 29.5]
[82.37, 29.68]
[82.32, 29.87]
[82.25, 29.5]
[82.21, 29.68]
[82.14, 29.68]
[82.09, 29.68]
[82.04, 29.68]
[82.01, 29.5]
[81.93, 29.68]
[81.88, 29.5]
[81.84, 29.68]
[81.79, 29.68]
[81.72, 30.06]
[81.67, 29.68]
[81.64, 29.68]
[81.56, 29.68]
[81.52, 29.68]
[81.48, 29.87]
[81.41, 29.87]
[81.37, 29.68]
[81.34, 29.87]
[81.26, 29.68]
[81.22, 29.87]
[81.15, 29.68]
[81.12, 29.87]
[81.06, 29.87]
[81.01, 30.06]
[80.94, 30.06]
[80.91, 29.87]
[80.85, 29.68]
[80.82, 30.06]
[80.76, 29.87]
[80.71, 30.06]
[80.66, 29.87]
[80.62, 29.87]
[80.57, 30.06]
[80.52, 30.06]
[80.47, 30.06]
[80.41, 30.06]
[80.36, 30.06]
[80.32, 30.06]
[80.26, 30.06]
[80.22, 30.06]
[80.17, 30.06]
[80.12, 30.06]
[80.07, 30.25]
[80.03, 30.25]
[79.97, 30.25]
[79.93, 30.25]
[79.87, 30.06]
[79.81, 30.25]
[79.77, 30.06]
[79.74, 30.25]
[79.7, 30.06]
[79.64, 30.25]
[79.6, 30.06]
[79.55, 30.44]
[79.48, 30.25]
[79.45, 30.44]
[79.4, 30.25]
[79.35, 30.25]
[79.3, 30.25]
[79.24, 30.44]
[79.21, 30.25]
[79.17, 30.25]
[79.11, 30.25]
[79.06, 30.06]
[79.03, 30.44]
[78.97, 30.44]
[78.93, 30.44]
[78.86, 30.25]
[78.85, 30.25]
[78.78, 30.25]
[78.75, 30.44]
[78.7, 30.44]
[78.66, 30.44]
[78.61, 30.25]
[78.57, 30.63]
[78.53, 30.44]
[78.47, 30.63]
[78.42, 30.63]
[78.37, 30.44]
[78.34, 30.63]
[78.28, 30.63]
[78.24, 30.44]
[78.19, 30.63]
[78.15, 30.63]
[78.11, 30.63]
[78.07, 30.63]
[78.02, 30.44]
[77.97, 30.83]
[77.94, 30.83]
[77.88, 31.02]
[77.82, 30.63]
[77.78, 30.83]
[77.72, 30.83]
[77.67, 30.83]
[77.6, 30.63]
[77.56, 30.63]
[77.52, 30.83]
[77.46, 30.83]
[77.42, 30.63]
[77.36, 30.83]
[77.33, 30.63]
[77.28, 30.63]
[77.22, 30.83]
[77.18, 30.83]
[77.13, 30.83]
[77.07, 30.83]
[77.02, 30.83]
[76.97, 30.83]
[76.95, 31.02]
[76.9, 30.83]
[76.86, 31.02]
[76.81, 31.02]
[76.77, 31.02]
[76.72, 31.02]
[76.68, 30.83]
[76.63, 31.02]
[76.57, 31.02]
[76.53, 31.21]
[76.49, 31.02]
[76.41, 31.21]
[76.38, 31.02]
[76.34, 31.02]
[76.27, 31.02]
[76.23, 31.02]
[76.17, 31.02]
[76.11, 31.21]
[76.06, 31.02]
[76.01, 31.21]
[75.95, 31.4]
[75.91, 31.21]
[75.86, 31.4]
[75.79, 31.21]
[75.74, 31.21]
[75.67, 31.21]
[75.62, 31.21]
[75.58, 31.21]
[75.52, 31.21]
[75.48, 31.4]
[75.43, 31.21]
[75.39, 31.4]
[75.32, 31.4]
[75.28, 31.21]
[75.24, 31.4]
[75.18, 31.4]
[75.16, 31.4]
[75.11, 31.4]
[75.07, 31.4]
[75.02, 31.6]
[75.0, 31.6]
[74.94, 31.4]
[74.9, 31.6]
[74.86, 31.79]
[74.83, 31.79]
[74.79, 31.4]
[74.75, 31.6]
[74.7, 31.79]
[74.67, 31.6]
[74.62, 31.79]
[74.59, 31.79]
[74.53, 31.79]
[74.5, 31.79]
[74.44, 31.6]
[74.4, 31.79]
[74.35, 31.79]
[74.3, 31.79]
[74.28, 31.6]
[74.24, 31.79]
[74.17, 31.79]
[74.15, 31.79]
[74.12, 31.79]
[74.09, 31.98]
[74.04, 31.79]
[74.01, 31.98]
[73.97, 31.98]
[73.94, 31.98]
[73.89, 32.18]
[73.86, 31.98]
[73.82, 31.98]
[73.8, 31.98]
[73.78, 32.18]
[73.73, 31.98]
[73.69, 31.98]
[73.63, 31.98]
[73.61, 32.37]
[73.56, 32.18]
[73.52, 32.18]
[73.49, 32.18]
[73.44, 32.18]
[73.41, 32.18]
[73.36, 31.98]
[73.36, 32.18]
[73.3, 32.18]
[73.27, 32.18]
[73.25, 32.18]
[73.2, 32.18]
[73.17, 32.18]
[73.15, 32.37]
[73.11, 32.18]
[73.08, 32.18]
[73.05, 32.37]
[73.02, 32.57]
[72.98, 32.37]
[72.95, 32.37]
[72.93, 32.37]
[72.88, 32.37]
[72.87, 32.57]
[72.83, 32.57]
[72.79, 32.57]
[72.78, 32.57]
[72.73, 32.37]
[72.7, 32.37]
[72.69, 32.57]
[72.64, 32.57]
[72.62, 32.57]
[72.57, 32.37]
[72.54, 32.57]
[72.51, 32.76]
[72.48, 32.57]
[72.46, 32.57]
[72.41, 32.57]
[72.37, 32.57]
[72.34, 32.76]
[72.31, 32.76]
[72.27, 32.76]
[72.25, 32.76]
[72.21, 32.57]
[72.17, 32.57]
[72.14, 32.76]
[72.1, 32.76]
[72.06, 32.76]
[72.04, 32.76]
[72.01, 32.76]
[71.98, 33.16]
[71.95, 32.96]
[71.92, 32.96]
[71.89, 32.96]
[71.88, 32.96]
[71.84, 32.96]
[71.8, 32.96]
[71.76, 32.96]
[71.74, 32.96]
[71.71, 33.36]
[71.68, 32.96]
[71.65, 32.96]
[71.62, 32.96]
[71.59, 33.16]
[71.58, 33.16]
[71.54, 33.16]
[71.51, 33.16]
[71.46, 33.36]
[71.45, 33.16]
[71.42, 33.55]
[71.39, 33.36]
[71.35, 33.16]
[71.33, 33.16]
[71.31, 33.16]
[71.27, 33.16]
[71.23, 33.16]
[71.23, 33.36]
[71.19, 33.16]
[71.17, 33.36]
[71.15, 33.36]
[71.1, 33.16]
[71.06, 33.36]
[71.05, 33.16]
[71.02, 33.36]
[71.01, 33.55]
[70.98, 33.36]
[70.95, 33.36]
[70.91, 33.55]
[70.88, 33.36]
[70.86, 33.55]
[70.84, 33.55]
[70.79, 33.55]
[70.76, 33.75]
[70.75, 33.55]
[70.73, 33.55]
[70.71, 33.55]
[70.68, 33.55]
[70.64, 33.95]
[70.61, 33.55]
[70.6, 33.75]
[70.56, 33.75]
[70.55, 33.75]
[70.53, 33.95]
[70.48, 33.75]
[70.46, 33.55]
[70.45, 33.95]
[70.43, 33.75]
[70.39, 33.75]
[70.35, 33.75]
[70.33, 33.55]
[70.3, 33.75]
[70.28, 33.75]
[70.28, 33.95]
[70.24, 33.75]
[70.21, 33.75]
[70.19, 33.95]
[70.18, 33.95]
[70.14, 33.95]
[70.13, 33.95]
[70.09, 33.95]
[70.06, 33.95]
[70.04, 33.95]
[70.02, 33.95]
[70.01, 33.95]
[69.98, 33.95]
[69.95, 33.95]
[69.92, 34.15]
[69.9, 34.35]
[69.88, 34.15]
[69.85, 34.15]
[69.84, 33.95]
[69.81, 34.15]
[69.77, 34.15]
[69.75, 34.35]
[69.72, 33.95]
[69.71, 33.95]
[69.67, 34.15]
[69.66, 33.95]
[69.64, 34.15]
[69.59, 34.35]
[69.59, 34.35]
[69.55, 34.35]
[69.53, 34.35]
[69.52, 34.15]
[69.51, 34.35]
[69.46, 34.15]
[69.44, 34.35]
[69.41, 34.35]
[69.41, 34.35]
[69.39, 34.35]
[69.35, 34.35]
[69.33, 34.15]
[69.31, 34.35]
[69.28, 34.35]
[69.26, 34.55]
[69.24, 34.55]
[69.22, 34.55]
[69.17, 34.55]
[69.17, 34.55]
[69.15, 34.35]
[69.13, 34.55]
[69.08, 34.55]
[69.08, 34.55]
[69.03, 34.55]
[69.02, 34.55]
[69.01, 34.55]
[68.99, 34.55]
[68.96, 34.75]
[68.95, 34.75]
[68.91, 34.55]
[68.9, 34.55]
[68.87, 34.95]
[68.85, 34.55]
[68.85, 34.75]
[68.81, 34.75]
[68.78, 34.75]
[68.76, 34.75]
[68.75, 34.55]
[68.73, 34.75]
[68.71, 34.75]
[68.68, 34.95]
[68.68, 34.75]
[68.66, 34.95]
[68.64, 34.75]
[68.61, 34.75]
[68.59, 34.95]
[68.58, 34.95]
[68.53, 34.95]
[68.53, 34.75]
[68.51, 34.95]
[68.47, 34.95]
[68.47, 34.95]
[68.44, 34.95]
[68.43, 35.15]
[68.4, 34.95]
[68.38, 34.95]
[68.35, 35.15]
[68.33, 34.95]
[68.32, 35.15]
[68.31, 35.15]
[68.28, 34.95]
[68.27, 35.15]
[68.24, 35.15]
[68.23, 34.95]
[68.2, 35.15]
[68.19, 35.15]
[68.14, 35.15]
[68.14, 35.15]
[68.12, 35.15]
[68.09, 35.36]
[68.05, 35.36]
[68.07, 35.15]
[68.05, 35.15]
[68.01, 35.36]
[67.97, 35.36]
[67.97, 35.56]
[67.95, 35.56]
[67.92, 35.36]
